study_hours,attendance_percent,assignment_score,previous_gpa,internet_access,tutoring,passed
5.5,72.7,58.4,3.77,Yes,Yes,1
3.8,77.1,46.9,2.59,Yes,Yes,1
3.3,74.8,57.4,2.78,Yes,Yes,1
1.8,66.1,61.6,3.44,Yes,No,1
2.6,86.4,62.4,3.28,Yes,No,1
4.4,71.6,97.5,1.92,Yes,No,1
,90.1,72.4,1.71,Yes,Yes,1
0.3,79.7,76.2,,Yes,Yes,0
5.7,,73.3,2.64,Yes,No,1
2.7,83.0,94.8,2.22,Yes,No,0
2.4,77.4,56.7,2.15,Yes,,1
6.0,,82.3,1.53,Yes,No,1
6.1,83.6,58.2,2.61,Yes,Yes,1
2.7,100.0,68.9,1.55,No,No,1
3.4,67.5,78.4,1.79,Yes,Yes,0
1.8,73.9,50.7,2.38,Yes,No,0
5.5,77.4,65.2,2.98,Yes,Yes,1
5.6,67.8,71.1,2.66,Yes,Yes,1
,67.0,78.6,3.14,No,No,1
6.5,64.5,67.6,2.59,Yes,No,0
5.7,80.9,100.0,2.33,Yes,No,1
3.8,75.6,99.2,2.4,Yes,Yes,1
5.3,83.3,38.0,1.99,Yes,No,1
1.0,65.7,72.8,2.66,Yes,No,1
,71.6,79.3,3.48,Yes,No,1
4.5,91.4,76.1,3.16,No,No,1
4.0,89.6,91.9,3.15,No,No,1
7.7,64.2,28.1,2.9,Yes,No,1
4.6,90.4,54.9,2.8,Yes,Yes,1
4.7,75.3,94.1,2.71,Yes,No,1
1.6,69.1,89.2,1.87,Yes,No,1
3.7,89.3,100.0,1.83,,Yes,1
2.6,91.2,95.8,1.96,No,No,1
8.2,53.9,51.7,3.3,Yes,No,1
3.3,90.7,86.5,2.18,Yes,No,1
4.2,75.7,66.8,3.08,No,Yes,1
6.2,75.4,74.1,1.82,Yes,Yes,1
5.2,77.0,71.8,2.44,Yes,No,1
1.5,92.9,64.0,1.94,Yes,No,1
5.1,94.9,63.4,3.12,No,No,1
5.3,84.7,82.6,4.0,Yes,No,1
3.7,89.5,62.8,1.76,Yes,No,1
4.8,100.0,74.2,2.84,Yes,Yes,1
4.2,80.6,78.3,2.05,Yes,Yes,1
1.5,69.7,63.0,3.14,Yes,No,1
3.0,86.5,66.7,,Yes,Yes,1
4.0,88.5,88.3,2.27,Yes,No,1
2.9,79.1,45.5,3.35,Yes,Yes,0
5.0,78.7,60.9,2.56,Yes,No,1
5.8,100.0,50.9,2.13,Yes,No,1
4.5,78.0,74.3,2.37,Yes,No,0
3.3,71.0,100.0,3.47,Yes,Yes,1
6.5,51.4,52.6,2.95,Yes,No,1
4.2,89.9,89.4,2.59,Yes,No,1
4.6,94.9,,2.53,Yes,,1
2.6,68.0,38.9,2.21,Yes,Yes,1
3.6,87.3,50.9,,Yes,No,1
5.8,77.2,70.7,4.0,Yes,Yes,1
5.3,81.7,56.2,2.53,Yes,No,0
3.7,74.5,75.2,1.91,Yes,No,1
4.0,80.8,91.5,2.93,Yes,No,1
4.4,90.5,81.6,3.04,No,Yes,1
2.3,75.4,68.0,3.43,No,No,1
3.7,73.6,79.5,1.79,Yes,Yes,1
3.1,69.9,76.3,2.87,Yes,Yes,1
1.5,93.4,52.0,2.05,Yes,No,0
4.3,71.9,62.0,3.64,Yes,Yes,1
3.7,87.9,78.0,3.2,Yes,Yes,1
1.4,67.4,70.0,2.52,Yes,Yes,1
2.6,57.6,75.8,1.79,Yes,No,1
3.8,74.9,,4.0,Yes,Yes,1
0.0,83.6,34.7,2.55,Yes,No,1
4.3,93.0,93.2,3.3,No,No,1
4.5,89.8,,1.28,Yes,No,0
5.2,84.6,71.2,2.75,Yes,No,1
2.9,53.7,73.3,3.21,Yes,Yes,0
1.4,86.3,68.8,1.11,Yes,Yes,0
5.1,64.8,,2.85,Yes,Yes,0
1.5,73.4,62.6,3.56,Yes,No,0
5.0,,60.0,1.6,Yes,No,0
2.8,92.1,69.4,,Yes,No,1
2.2,69.3,73.6,2.41,Yes,Yes,0
4.5,77.3,60.6,2.2,Yes,No,1
6.0,89.8,75.7,2.21,No,No,1
3.7,79.5,58.0,2.01,Yes,No,1
3.6,78.8,62.1,2.1,Yes,No,1
1.0,68.8,67.3,2.61,No,Yes,1
5.5,87.1,77.6,2.71,No,No,1
4.1,88.5,66.2,1.7,Yes,Yes,0
3.5,72.4,76.7,2.22,Yes,No,1
6.4,58.9,95.0,2.72,Yes,Yes,1
1.2,100.0,63.7,3.5,Yes,Yes,1
,73.5,90.4,3.51,Yes,No,1
4.0,85.8,51.0,2.63,Yes,No,1
3.5,71.9,80.5,2.73,Yes,No,0
0.0,73.1,67.9,,Yes,Yes,0
4.6,,100.0,2.7,No,Yes,1
,77.8,,1.31,Yes,No,1
5.8,89.7,58.3,2.38,Yes,No,1
7.7,90.0,86.6,,Yes,No,1
3.7,75.6,77.0,2.11,Yes,No,1
4.7,84.5,71.9,2.75,Yes,No,1
4.5,89.8,34.5,2.79,Yes,No,1
4.3,94.9,76.7,3.54,No,Yes,0
3.8,78.4,69.1,2.8,Yes,No,1
4.7,81.4,72.0,2.28,Yes,Yes,1
6.0,71.0,59.0,3.1,Yes,No,1
2.5,89.9,90.3,1.46,Yes,No,1
7.4,82.5,70.5,3.83,Yes,No,1
4.9,66.7,67.0,1.13,Yes,Yes,0
4.5,77.5,47.3,3.11,Yes,No,0
0.0,80.1,67.6,3.03,Yes,No,0
4.0,74.9,54.2,2.23,Yes,Yes,1
2.2,73.5,91.1,2.33,Yes,Yes,1
5.0,63.5,74.3,1.59,Yes,No,1
5.7,82.5,61.5,2.72,Yes,Yes,1
6.1,76.8,67.8,3.02,Yes,Yes,1
3.7,91.5,92.3,2.26,Yes,No,1
3.9,80.3,72.6,2.94,Yes,Yes,1
4.8,90.6,70.3,3.12,Yes,No,1
0.2,68.4,98.4,2.1,Yes,No,0
3.2,85.6,76.1,3.24,Yes,Yes,1
3.0,89.4,84.1,2.96,Yes,No,1
4.9,89.6,65.2,2.69,Yes,Yes,1
3.2,78.5,64.8,3.18,Yes,Yes,1
5.3,71.8,83.2,2.86,Yes,,1
3.7,99.8,,2.13,Yes,No,1
5.5,79.4,75.9,2.19,Yes,No,1
8.0,68.5,69.5,2.8,Yes,No,1
6.8,79.3,70.5,3.42,Yes,No,1
5.7,85.2,68.5,2.77,No,Yes,1
6.1,73.8,50.8,2.37,Yes,Yes,1
3.3,86.1,90.1,2.67,No,No,1
2.6,91.5,61.5,1.82,Yes,No,0
2.5,81.2,52.6,3.44,Yes,No,1
4.4,92.8,71.7,,No,No,0
6.7,80.4,60.7,3.81,Yes,No,1
2.7,76.6,89.4,3.26,Yes,No,1
4.8,,80.1,2.16,Yes,Yes,1
1.8,88.6,61.7,2.55,Yes,Yes,1
1.8,82.9,57.2,2.36,Yes,,1
5.5,62.0,80.2,2.94,Yes,No,1
2.8,66.6,60.1,3.58,No,No,0
2.7,63.5,49.9,0.92,Yes,Yes,0
7.6,81.3,45.6,2.92,Yes,No,1
4.1,81.4,81.1,2.81,Yes,No,1
,86.3,47.1,2.83,Yes,No,1
3.6,93.1,52.8,3.1,Yes,No,1
4.7,65.0,80.8,2.03,Yes,Yes,0
2.7,67.0,82.5,3.29,Yes,,1
4.1,71.7,52.9,2.86,Yes,No,1
6.0,86.7,61.3,2.49,Yes,Yes,1
3.4,84.9,85.1,2.65,Yes,No,1
0.0,70.3,73.6,2.33,No,,1
2.8,74.0,63.5,2.7,No,Yes,1
5.4,85.9,72.2,3.04,Yes,Yes,1
6.0,82.5,76.7,1.74,No,No,1
4.7,,53.9,2.39,No,Yes,1
6.6,72.8,55.2,2.31,Yes,No,1
2.1,80.2,87.2,2.61,Yes,No,1
6.3,70.9,96.8,2.44,Yes,No,1
4.4,94.3,84.0,1.41,Yes,No,0
5.2,92.9,67.6,2.96,Yes,Yes,1
,87.1,60.3,3.46,Yes,No,0
5.6,92.4,71.4,2.15,Yes,No,1
4.4,96.8,86.3,2.75,Yes,Yes,1
7.4,97.7,89.4,2.15,Yes,Yes,1
4.3,100.0,70.4,2.77,Yes,Yes,1
2.2,74.0,76.5,2.48,Yes,No,1
2.6,73.1,48.9,3.39,Yes,Yes,1
4.7,96.0,68.5,2.25,Yes,Yes,1
4.6,77.2,92.4,3.08,Yes,No,1
2.9,62.6,68.4,2.13,Yes,No,1
2.1,76.9,77.4,2.26,Yes,No,0
6.7,93.1,84.0,2.71,Yes,Yes,1
3.6,76.8,82.8,1.5,Yes,No,1
3.9,90.3,72.0,2.02,Yes,No,1
3.0,85.3,62.1,3.21,,No,1
6.5,,38.1,2.16,Yes,No,1
6.0,86.9,53.1,1.7,Yes,Yes,1
2.2,82.1,65.9,1.63,Yes,No,0
3.9,76.0,81.3,2.69,Yes,Yes,1
2.3,66.3,73.6,2.24,Yes,No,0
7.3,99.5,87.7,2.66,Yes,No,1
4.8,72.0,52.3,0.68,No,No,0
3.5,59.6,43.9,2.07,Yes,No,0
3.4,91.1,79.5,2.08,Yes,No,1
5.0,77.1,97.2,3.15,Yes,No,1
3.6,95.0,73.5,3.23,Yes,No,0
6.8,80.8,62.3,3.08,No,Yes,1
2.3,81.8,83.8,1.22,Yes,No,1
1.8,88.4,91.6,3.21,Yes,No,1
6.5,83.2,52.4,3.45,Yes,No,0
3.2,83.2,65.4,2.06,Yes,Yes,1
6.6,93.9,85.6,2.81,Yes,No,1
5.6,72.1,74.2,2.91,No,No,0
1.6,88.1,58.6,2.32,Yes,No,1
2.9,85.1,66.1,2.7,Yes,Yes,1
4.1,64.4,57.3,2.05,Yes,No,0
3.6,94.2,48.7,2.72,Yes,No,1
4.5,90.4,75.3,2.52,No,No,1
2.9,98.9,51.2,2.8,Yes,Yes,0
3.8,77.2,68.8,,Yes,No,1
5.8,69.9,56.5,1.88,No,No,1
6.4,100.0,77.0,3.44,Yes,Yes,1
2.6,70.8,65.1,2.68,Yes,Yes,0
3.6,73.3,66.6,2.63,Yes,No,0
3.8,88.1,47.3,1.14,No,No,0
1.6,77.2,73.8,3.3,Yes,No,1
5.7,86.5,63.8,1.81,Yes,Yes,1
5.0,67.4,58.4,1.96,Yes,No,1
4.9,63.3,76.5,2.43,No,Yes,1
3.8,76.0,83.8,2.39,Yes,No,1
5.6,89.4,95.4,2.02,Yes,Yes,1
5.7,81.6,73.1,3.64,Yes,No,1
6.1,95.1,73.7,3.09,Yes,No,1
3.7,79.1,56.2,4.0,Yes,Yes,1
4.6,84.1,60.2,2.11,Yes,No,1
3.3,72.0,87.6,2.08,No,No,1
3.4,65.9,63.6,4.0,Yes,No,1
